team,match,win,loss,score
G-6,1,1,0,1
G-4,1,1,0,1
G-1,0,0,0,0
G-2,0,0,0,0
G-3,0,0,0,0
G-5,0,0,0,0
G-7,1,0,1,0
G-8,0,0,0,0
G-9,1,0,1,0
G-10,0,0,0,0
G-11,0,0,0,0
G-12,0,0,0,0
G-13,0,0,0,0
G-14,0,0,0,0
